agency,site,date_time,qual_code,timezone,flow,wuql_code,comments
USGS,mon_jug,2017-05-02,A,EST,445,NA,NA
USGS,mon_jug,2017-05-03,A,EST,422,NA,NA
USGS,mon_jug,2017-05-04,A,EST,407,NA,NA
USGS,mon_jug,2017-05-05,A,EST,386,NA,NA
USGS,mon_jug,2017-05-06,A,EST,357,NA,NA
USGS,mon_jug,2017-05-07,A,EST,345,NA,NA
USGS,mon_jug,2017-05-08,A,EST,441,NA,NA
USGS,mon_jug,2017-05-09,A,EST,804,NA,NA
USGS,mon_jug,2017-05-10,A,EST,535,NA,NA
USGS,mon_jug,2017-05-11,A,EST,405,NA,NA
USGS,mon_jug,2017-05-12,A,EST,358,NA,NA
USGS,mon_jug,2017-05-13,A,EST,336,NA,NA
USGS,mon_jug,2017-05-14,A,EST,399,NA,NA
USGS,mon_jug,2017-05-15,A,EST,348,NA,NA
USGS,mon_jug,2017-05-16,A,EST,304,NA,NA
USGS,mon_jug,2017-05-17,A,EST,283,NA,NA
USGS,mon_jug,2017-05-18,A,EST,274,NA,NA
USGS,mon_jug,2017-05-19,A,EST,264,NA,NA
USGS,mon_jug,2017-05-20,A,EST,256,NA,NA
USGS,mon_jug,2017-05-21,A,EST,240,NA,NA
USGS,mon_jug,2017-05-22,A,EST,225,NA,NA
USGS,mon_jug,2017-05-23,A,EST,261,NA,NA
USGS,mon_jug,2017-05-24,A,EST,327,NA,NA
USGS,mon_jug,2017-05-25,A,EST,335,NA,NA
USGS,mon_jug,2017-05-26,A,EST,292,NA,NA
USGS,mon_jug,2017-05-27,A,EST,236,NA,NA
USGS,mon_jug,2017-05-28,A,EST,208,NA,NA
USGS,mon_jug,2017-05-29,A,EST,189,NA,NA
USGS,mon_jug,2017-05-30,A,EST,179,NA,NA
USGS,mon_jug,2017-05-31,A,EST,167,NA,NA
USGS,mon_jug,2017-06-01,A,EST,159,NA,NA
USGS,mon_jug,2017-06-02,A,EST,155,NA,NA
USGS,mon_jug,2017-06-03,A,EST,190,NA,NA
USGS,mon_jug,2017-06-04,A,EST,251,NA,NA
USGS,mon_jug,2017-06-05,A,EST,213,NA,NA
USGS,mon_jug,2017-06-06,A,EST,171,NA,NA
USGS,mon_jug,2017-06-07,A,EST,151,NA,NA
USGS,mon_jug,2017-06-08,A,EST,143,NA,NA
USGS,mon_jug,2017-06-09,A,EST,133,NA,NA
USGS,mon_jug,2017-06-10,A,EST,133,NA,NA
USGS,mon_jug,2017-06-11,A,EST,137,NA,NA
USGS,mon_jug,2017-06-12,A,EST,135,NA,NA
USGS,mon_jug,2017-06-13,A,EST,145,NA,NA
USGS,mon_jug,2017-06-14,A,EST,162,NA,NA
USGS,mon_jug,2017-06-15,A,EST,189,NA,NA
USGS,mon_jug,2017-06-16,A,EST,188,NA,NA
USGS,mon_jug,2017-06-17,A,EST,181,NA,NA
USGS,mon_jug,2017-06-18,A,EST,173,NA,NA
USGS,mon_jug,2017-06-19,A,EST,180,NA,NA
USGS,mon_jug,2017-06-20,A,EST,161,NA,NA
USGS,mon_jug,2017-06-21,A,EST,153,NA,NA
USGS,mon_jug,2017-06-22,A,EST,145,NA,NA
USGS,mon_jug,2017-06-23,A,EST,143,NA,NA
USGS,mon_jug,2017-06-24,A,EST,131,NA,NA
USGS,mon_jug,2017-06-25,A,EST,119,NA,NA
USGS,mon_jug,2017-06-26,A,EST,107,NA,NA
USGS,mon_jug,2017-06-27,A,EST,102,NA,NA
USGS,mon_jug,2017-06-28,A,EST,98,NA,NA
USGS,mon_jug,2017-06-29,A,EST,110,NA,NA
USGS,mon_jug,2017-06-30,A,EST,103,NA,NA
USGS,mon_jug,2017-07-01,A,EST,109,NA,NA
USGS,mon_jug,2017-07-02,A,EST,149,NA,NA
USGS,mon_jug,2017-07-03,A,EST,176,NA,NA
USGS,mon_jug,2017-07-04,A,EST,155,NA,NA
USGS,mon_jug,2017-07-05,A,EST,115,NA,NA
USGS,mon_jug,2017-07-06,A,EST,99,NA,NA
USGS,mon_jug,2017-07-07,A,EST,89,NA,NA
USGS,mon_jug,2017-07-08,A,EST,80,NA,NA
USGS,mon_jug,2017-07-09,A,EST,73,NA,NA
USGS,mon_jug,2017-07-10,A,EST,66,NA,NA
USGS,mon_jug,2017-07-11,A,EST,65,NA,NA
USGS,mon_jug,2017-07-12,A,EST,64,NA,NA
USGS,mon_jug,2017-07-13,A,EST,70,NA,NA
USGS,mon_jug,2017-07-14,A,EST,64,NA,NA
USGS,mon_jug,2017-07-15,A,EST,65,NA,NA
USGS,mon_jug,2017-07-16,A,EST,60,NA,NA
USGS,mon_jug,2017-07-17,A,EST,54,NA,NA
USGS,mon_jug,2017-07-18,A,EST,58,NA,NA
USGS,mon_jug,2017-07-19,A,EST,51,NA,NA
USGS,mon_jug,2017-07-20,A,EST,51,NA,NA
USGS,mon_jug,2017-07-21,A,EST,49,NA,NA
USGS,mon_jug,2017-07-22,A,EST,56,NA,NA
USGS,mon_jug,2017-07-23,A,EST,217,NA,NA
USGS,mon_jug,2017-07-24,A,EST,185,NA,NA
USGS,mon_jug,2017-07-25,A,EST,126,NA,NA
USGS,mon_jug,2017-07-26,A,EST,108,NA,NA
USGS,mon_jug,2017-07-27,A,EST,86,NA,NA
USGS,mon_jug,2017-07-28,A,EST,90,NA,NA
USGS,mon_jug,2017-07-29,A,EST,85,NA,NA
USGS,mon_jug,2017-07-30,A,EST,91,NA,NA
USGS,mon_jug,2017-07-31,A,EST,79,NA,NA
USGS,mon_jug,2017-08-01,A,EST,71,NA,NA
USGS,mon_jug,2017-08-02,A,EST,87,NA,NA
USGS,mon_jug,2017-08-03,A,EST,109,NA,NA
USGS,mon_jug,2017-08-04,A,EST,83,NA,NA
USGS,mon_jug,2017-08-05,A,EST,67,NA,NA
USGS,mon_jug,2017-08-06,A,EST,58,NA,NA
USGS,mon_jug,2017-08-07,A,EST,53,NA,NA
USGS,mon_jug,2017-08-08,A,EST,52,NA,NA
USGS,mon_jug,2017-08-09,A,EST,48,NA,NA
USGS,mon_jug,2017-08-10,A,EST,43,NA,NA
USGS,mon_jug,2017-08-11,A,EST,41,NA,NA
USGS,mon_jug,2017-08-12,A,EST,40,NA,NA
USGS,mon_jug,2017-08-13,A,EST,38,NA,NA
USGS,mon_jug,2017-08-14,A,EST,154,NA,NA
USGS,mon_jug,2017-08-15,A,EST,75,NA,NA
USGS,mon_jug,2017-08-16,A,EST,47,NA,NA
USGS,mon_jug,2017-08-17,A,EST,44,NA,NA
USGS,mon_jug,2017-08-18,A,EST,45,NA,NA
USGS,mon_jug,2017-08-19,A,EST,44,NA,NA
USGS,mon_jug,2017-08-20,A,EST,43,NA,NA
USGS,mon_jug,2017-08-21,A,EST,198,NA,NA
USGS,mon_jug,2017-08-22,A,EST,475,NA,NA
USGS,mon_jug,2017-08-23,A,EST,177,NA,NA
USGS,mon_jug,2017-08-24,A,EST,195,NA,NA
USGS,mon_jug,2017-08-25,A,EST,228,NA,NA
USGS,mon_jug,2017-08-26,A,EST,333,NA,NA
USGS,mon_jug,2017-08-27,A,EST,535,NA,NA
USGS,mon_jug,2017-08-28,A,EST,367,NA,NA
USGS,mon_jug,2017-08-29,A,EST,180,NA,NA
USGS,mon_jug,2017-08-30,A,EST,133,NA,NA
USGS,mon_jug,2017-08-31,A,EST,110,NA,NA
USGS,mon_jug,2017-09-01,A,EST,95,NA,NA
NA,NA,#VALUE!,NA,NA,NA,NA,NA
NA,NA,#VALUE!,NA,NA,NA,NA,NA
USGS,luke,2017-05-01,A,EST,781,NA,NA
USGS,luke,2017-05-02,A,EST,757,NA,NA
USGS,luke,2017-05-03,A,EST,519,NA,NA
USGS,luke,2017-05-04,A,EST,465,NA,NA
USGS,luke,2017-05-05,A,EST,432,NA,NA
USGS,luke,2017-05-06,A,EST,430,NA,NA
USGS,luke,2017-05-07,A,EST,469,NA,NA
USGS,luke,2017-05-08,A,EST,694,NA,NA
USGS,luke,2017-05-09,A,EST,603,NA,NA
USGS,luke,2017-05-10,A,EST,523,NA,NA
USGS,luke,2017-05-11,A,EST,476,NA,NA
USGS,luke,2017-05-12,A,EST,458,NA,NA
USGS,luke,2017-05-13,A,EST,462,NA,NA
USGS,luke,2017-05-14,A,EST,470,NA,NA
USGS,luke,2017-05-15,A,EST,713,NA,NA
USGS,luke,2017-05-16,A,EST,696,NA,NA
USGS,luke,2017-05-17,A,EST,392,NA,NA
USGS,luke,2017-05-18,A,EST,357,NA,NA
USGS,luke,2017-05-19,A,EST,358,NA,NA
USGS,luke,2017-05-20,A,EST,352,NA,NA
USGS,luke,2017-05-21,A,EST,325,NA,NA
USGS,luke,2017-05-22,A,EST,309,NA,NA
USGS,luke,2017-05-23,A,EST,309,NA,NA
USGS,luke,2017-05-24,A,EST,330,NA,NA
USGS,luke,2017-05-25,A,EST,341,NA,NA
USGS,luke,2017-05-26,A,EST,321,NA,NA
USGS,luke,2017-05-27,A,EST,309,NA,NA
