unique_id,supplier,location,date_time,day,time,measurement,today,value,units,comments
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-28T04:00:00Z,yesterday,NA,daily average withdrawals,4/29/1999,129.606,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-29T04:00:00Z,yesterday,NA,daily average withdrawals,4/30/1999,139.675,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-04-30T04:00:00Z,yesterday,NA,daily average withdrawals,5/1/1999,145.741,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-01T04:00:00Z,yesterday,NA,daily average withdrawals,5/2/1999,144.87,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-02T04:00:00Z,yesterday,NA,daily average withdrawals,5/3/1999,117.262,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-03T04:00:00Z,yesterday,NA,daily average withdrawals,5/4/1999,128.592,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-04T04:00:00Z,yesterday,NA,daily average withdrawals,5/5/1999,142.586,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-05T04:00:00Z,yesterday,NA,daily average withdrawals,5/6/1999,94.901,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-06T04:00:00Z,yesterday,NA,daily average withdrawals,5/7/1999,115.044,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-07T04:00:00Z,yesterday,NA,daily average withdrawals,5/8/1999,112.993,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-08T04:00:00Z,yesterday,NA,daily average withdrawals,5/9/1999,117.695,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-09T04:00:00Z,yesterday,NA,daily average withdrawals,5/10/1999,120.804,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-10T04:00:00Z,yesterday,NA,daily average withdrawals,5/11/1999,147.678,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-11T04:00:00Z,yesterday,NA,daily average withdrawals,5/12/1999,154.296,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-12T04:00:00Z,yesterday,NA,daily average withdrawals,5/13/1999,126.539,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-13T04:00:00Z,yesterday,NA,daily average withdrawals,5/14/1999,101.295,MGD,
WSSC Potomac River daily average withdrawals,WSSC,Potomac River,1999-05-14T04:00:00Z,yesterday,NA,daily average withdrawals,5/15/1999,117.641,MGD,
