unique_id,supplier,location,day,time,measurement,today,value,units
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-02,144.71,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-03,140.24,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-04,133.86,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-05,117.63,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-06,141.16,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-07,130.17,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-08,123.07,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-09,138.44,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-10,122.27,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-11,135.69,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-12,117.92,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-13,118.11,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-14,121.62,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-15,142.4,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-16,118.01,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-17,136.4,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-18,125.63,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-19,141.04,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-20,114.58,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-21,126.99,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-22,136.43,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-23,123.17,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-24,116.08,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-25,142.7,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-26,125.11,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-27,132.97,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-28,125.3,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-29,126.38,MGD
WSSC Potomac River,WSSC,Potomac River,yesterday,NA,daily average withdrawals,2017-08-30,125.41,MGD
