agency,site,date_time,flow,comments
USGS,conoco,2017-10-30T00:00:00Z,3930,
USGS,conoco,2017-10-31T00:00:00Z,2150,
USGS,conoco,2017-11-01T00:00:00Z,1200,
USGS,conoco,2017-11-02T00:00:00Z,913,
USGS,conoco,2017-11-03T00:00:00Z,747,
USGS,conoco,2017-11-04T00:00:00Z,633,
USGS,conoco,2017-11-05T00:00:00Z,679,
USGS,conoco,2017-11-06T00:00:00Z,674,
USGS,conoco,2017-11-07T00:00:00Z,617,
USGS,conoco,2017-11-08T00:00:00Z,717,
USGS,conoco,2017-11-09T00:00:00Z,687,
USGS,conoco,2017-11-10T00:00:00Z,617,
USGS,conoco,2017-11-11T00:00:00Z,531,
USGS,conoco,2017-11-12T00:00:00Z,478,
USGS,conoco,2017-11-13T00:00:00Z,452,
USGS,conoco,2017-11-14T00:00:00Z,427,
USGS,conoco,2017-11-15T00:00:00Z,400,
USGS,conoco,2017-11-16T00:00:00Z,377,
USGS,conoco,2017-11-17T00:00:00Z,355,
USGS,conoco,2017-11-18T00:00:00Z,445,
USGS,conoco,2017-11-19T00:00:00Z,1250,
USGS,conoco,2017-11-20T00:00:00Z,927,
USGS,conoco,2017-11-21T00:00:00Z,719,
USGS,conoco,2017-11-22T00:00:00Z,622,
USGS,conoco,2017-11-23T00:00:00Z,553,
USGS,conoco,2017-11-24T00:00:00Z,502,
USGS,conoco,2017-11-25T00:00:00Z,468,
USGS,conoco,2017-11-26T00:00:00Z,440,
USGS,conoco,2017-11-27T00:00:00Z,406,
USGS,conoco,2017-11-28T00:00:00Z,378,
USGS,conoco,2017-11-29T00:00:00Z,355,
USGS,conoco,2017-11-30T00:00:00Z,338,
USGS,conoco,2017-12-01T00:00:00Z,324,
USGS,conoco,2017-12-02T00:00:00Z,308,
USGS,conoco,2017-12-03T00:00:00Z,295,
USGS,conoco,2017-12-04T00:00:00Z,284,
USGS,conoco,2017-12-05T00:00:00Z,287,
USGS,conoco,2017-12-06T00:00:00Z,378,
USGS,goose,2017-05-01T00:00:00Z,358,
USGS,goose,2017-05-02T00:00:00Z,243,
